orden,division,grupo,clase,subclase,producto,descripcion,ponderacion,etiqueta,nivel
388,6,061,0611,06111,06111009,Tickets de medicamentos,0.010159,Tickets de medicamentos,producto
389,6,061,0613,,,Productos de asistencia,0.003589,Productos de asistencia,clase
390,6,061,0613,06131,,Productos de asistencia para la visión,0.003589,Productos de asistencia para la visión,subclase
391,6,061,0613,06131,06131001,Anteojos y lentes de contacto,0.003589,Anteojos y lentes de contacto,producto
392,6,062,,,,Servicios de atención ambulatoria,0.017135,Servicios de atención ambulatoria,grupo
393,6,062,0621,,,Servicios de atención preventiva,0.006765,Servicios de atención preventiva,clase
394,6,062,0621,06219,,Otros servicios de prevención,0.006765,Otros servicios de prevención,subclase
395,6,062,0621,06219,06219001,Consulta particular médico,0.000583,Consulta particular médico,producto
396,6,062,0621,06219,06219002,"Análisis de sangre, orina, otros, particulares",0.001295,"Anál. de sangre, orina, otros, parti.",producto
397,6,062,0621,06219,06219003,Tickets de análisis clínicos,0.002917,Tickets de análisis clínicos,producto
398,6,062,0621,06219,06219004,Órdenes para consultas médicas,0.00197,Órdenes para consultas médicas,producto
399,6,062,0622,,,Servicios dentales para pacientes ambulatorios,0.00797,Serv. dent. para paci. ambul.,clase
400,6,062,0622,06221,,Servicios preventivos dentales,0.00797,Servicios preventivos dentales,subclase
401,6,062,0622,06221,06221001,Prótesis dentales y dentadura postiza,0.000855,Prótesis dentales y dentadura postiza,producto
402,6,062,0622,06221,06221002,Servicios odontológicos,0.007115,Servicios odontológicos,producto
403,6,062,0623,,,Otros servicios de atención ambulatoria,0.0024,Otros servicios de atención ambulatoria,clase
404,6,062,0623,06232,,Servicios de atención a largo plazo para pacientes ambulatorios,0.0024,Serv. de aten. a largo plazo para paci. a…,subclase
405,6,062,0623,06232,06232001,Tratamientos terapéuticos particulares,0.001848,Tratamientos terapéuticos particulares,producto
406,6,062,0623,06232,06232002,Medicina no tradicional,0.000552,Medicina no tradicional,producto
407,6,063,,,,Servicios de atención hospitalaria,0.000274,Servicios de atención hospitalaria,grupo
408,6,063,0631,,,Servicios curativos y de rehabilitación para pacientes hospitalizados,0.000274,Serv. cura. y de rehab. para paci. hospi.,clase
409,6,063,0631,06310,,Servicios curativos y de rehabilitación para pacientes hospitalizados,0.000274,Serv. cura. y de rehab. para paci. hospi.,subclase
410,6,063,0631,06310,06310001,"Servicio de internación, intervención quirúrgica",0.000274,"Serv. de inter., inter. quirú.",producto
411,7,,,,,TRANSPORTE,0.116693,Transporte,division
412,7,071,,,,Compra de vehículos,0.02854,Compra de vehículos,grupo
413,7,071,0711,,,Automóviles,0.025376,Automóviles,clase
414,7,071,0711,07111,,Automóviles nuevos,0.025376,Automóviles nuevos,subclase
415,7,071,0711,07111,07111001,Automóvil o camioneta,0.025376,Automóvil o camioneta,producto
